feature,seq,actor,action,expected,actual,pass,note
"行事曆","17","62020002","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","18","62020002","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","19","62020002","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","20","62020002","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","21","62030001","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","22","62030001","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","23","62030001","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","24","62030001","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","25","62030001","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","26","62040002","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","27","62040002","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","28","62040002","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","29","62040002","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","30","62040002","加事件","allow","allow (http 201) 1 row","true",""
"行事曆","31","62010003","越權加事件","deny","deny (http 403) new row violates row-level security policy for table ""events""","true",""
"行事曆","32","62010004","越權加事件","deny","deny (http 403) new row violates row-level security policy for table ""events""","true",""
"行事曆","33","62020003","越權加事件","deny","deny (http 403) new row violates row-level security policy for table ""events""","true",""
"行事曆","34","62000003","越權加事件","deny","deny (http 403) new row violates row-level security policy for table ""events""","true",""
"行事曆","35","62000004","越權加事件","deny","deny (http 403) new row violates row-level security policy for table ""events""","true",""
"聯絡人","1","62000001","PM 加聯絡人 電工","allow","allow (http 201) 1 row","true",""
"聯絡人","2","62000001","PM 加聯絡人 水喉","allow","allow (http 201) 1 row","true",""
"聯絡人","3","62000001","PM 加聯絡人 紮鐵","allow","allow (http 201) 1 row","true",""
"聯絡人","4","62000001","PM 加聯絡人 棚架","allow","allow (http 201) 1 row","true",""
"聯絡人","5","62000001","PM 加聯絡人 機電","allow","allow (http 201) 1 row","true",""
"聯絡人","6","62000001","PM 加聯絡人 泥水","allow","allow (http 201) 1 row","true",""
"聯絡人","7","62000001","PM 加聯絡人 油漆","allow","allow (http 201) 1 row","true",""
"聯絡人","8","62000001","PM 加聯絡人 玻璃","allow","allow (http 201) 1 row","true",""
"聯絡人","9","62000001","PM 加聯絡人 消防","allow","allow (http 201) 1 row","true",""
"聯絡人","10","62000001","PM 加聯絡人 吊船","allow","allow (http 201) 1 row","true",""
"聯絡人","11","62000001","PM 加聯絡人 清拆","allow","allow (http 201) 1 row","true",""
"聯絡人","12","62000001","PM 加聯絡人 園境","allow","allow (http 201) 1 row","true",""
"聯絡人","13","62000001","PM 加聯絡人 防水","allow","allow (http 201) 1 row","true",""
"聯絡人","14","62000001","PM 加聯絡人 冷氣","allow","allow (http 201) 1 row","true",""
"聯絡人","15","62000001","PM 加聯絡人 雲石","allow","allow (http 201) 1 row","true",""
"聯絡人","16","62000001","PM 加聯絡人 鋁窗","allow","allow (http 201) 1 row","true",""
"聯絡人","17","62000001","PM 加聯絡人 天花","allow","allow (http 201) 1 row","true",""
"聯絡人","18","62000001","PM 加聯絡人 地板","allow","allow (http 201) 1 row","true",""
"聯絡人","19","62000001","PM 加聯絡人 門鎖","allow","allow (http 201) 1 row","true",""
"聯絡人","20","62000001","PM 加聯絡人 燒焊","allow","allow (http 201) 1 row","true",""
"聯絡人","21","62010001","越權加聯絡人","deny","deny (http 403) new row violates row-level security policy for table ""contacts""","true",""
"聯絡人","22","62010003","越權加聯絡人","deny","deny (http 403) new row violates row-level security policy for table ""contacts""","true",""
"聯絡人","23","62010004","越權加聯絡人","deny","deny (http 403) new row violates row-level security policy for table ""contacts""","true",""
"聯絡人","24","62000002","越權加聯絡人","deny","deny (http 403) new row violates row-level security policy for table ""contacts""","true",""
"聯絡人","25","62000003","越權加聯絡人","deny","deny (http 403) new row violates row-level security policy for table ""contacts""","true",""
"聯絡人","26","62000004","越權加聯絡人","deny","deny (http 403) new row violates row-level security policy for table ""contacts""","true",""
"聯絡人","27","62020002","越權加聯絡人","deny","deny (http 403) new row violates row-level security policy for table ""contacts""","true",""
"聯絡人","28","62030003","越權加聯絡人","deny","deny (http 403) new row violates row-level security policy for table ""contacts""","true",""
"聯絡人","29","62040001","越權加聯絡人","deny","deny (http 403) new row violates row-level security policy for table ""contacts""","true",""
"聯絡人","30","62020004","越權加聯絡人","deny","deny (http 403) new row violates row-level security policy for table ""contacts""","true",""
"文件/圖則","1","62010003","取文件編號 material_submission","allow","allow (http 200)","true",""
"文件/圖則","2","62010003","取文件編號 method_statement","allow","allow (http 200)","true",""
"文件/圖則","3","62010003","取文件編號 inspection","allow","allow (http 200)","true",""
"文件/圖則","4","62010003","取文件編號 other","allow","allow (http 200)","true",""
"文件/圖則","5","62010001","取文件編號 material_submission","allow","allow (http 200)","true",""
"文件/圖則","6","62010001","取文件編號 method_statement","allow","allow (http 200)","true",""
"文件/圖則","7","62010001","取文件編號 inspection","allow","allow (http 200)","true",""
"文件/圖則","8","62010001","取文件編號 other","allow","allow (http 200)","true",""
"文件/圖則","9","62010002","取文件編號 material_submission","allow","allow (http 200)","true",""
"文件/圖則","10","62010002","取文件編號 method_statement","allow","allow (http 200)","true",""
"文件/圖則","11","62010002","取文件編號 inspection","allow","allow (http 200)","true",""
"文件/圖則","12","62010002","取文件編號 other","allow","allow (http 200)","true",""
"文件/圖則","13","62020003","取文件編號 material_submission","allow","allow (http 200)","true",""
"文件/圖則","14","62020003","取文件編號 method_statement","allow","allow (http 200)","true",""
"文件/圖則","15","62020003","取文件編號 inspection","allow","allow (http 200)","true",""
"文件/圖則","16","62020003","取文件編號 other","allow","allow (http 200)","true",""
"文件/圖則","17","62020001","取文件編號 material_submission","allow","allow (http 200)","true",""
"文件/圖則","18","62020001","取文件編號 method_statement","allow","allow (http 200)","true",""
"文件/圖則","19","62020001","取文件編號 inspection","allow","allow (http 200)","true",""
"文件/圖則","20","62020001","取文件編號 other","allow","allow (http 200)","true",""
"文件/圖則","21","62020002","取文件編號 material_submission","allow","allow (http 200)","true",""
"文件/圖則","22","62020002","取文件編號 method_statement","allow","allow (http 200)","true",""
"文件/圖則","23","62020002","取文件編號 inspection","allow","allow (http 200)","true",""
"文件/圖則","24","62020002","取文件編號 other","allow","allow (http 200)","true",""
"文件/圖則","25","62000002","老總取文件編號","allow","allow (http 200)","true",""
"文件/圖則","26","62010003","取圖則編號 (D-25)","deny","deny (http 400) 沒有權限產生文件編號","true",""
"文件/圖則","27","62000002","取圖則編號 (D-25)","deny","deny (http 400) 沒有權限產生文件編號","true",""
"文件/圖則","28","62010004","取圖則編號 (D-25)","deny","deny (http 400) 沒有權限產生文件編號","true",""
"文件/圖則","29","62000001","取圖則編號","allow","allow (http 200)","true",""
"文件/圖則","30","62010001","取圖則編號","allow","allow (http 200)","true",""
"文件/圖則","31","62010004","工人取文件編號","deny","deny (http 400) 沒有權限產生文件編號","true",""
